numero_declaracion,manifiesto,codigo,descripcion_mercaderia,item_nro,valor_item
IMP-ES-2024-0000001,MAN-2024-67377,0901.11.00,Café sin tostar,1,1537757.9
IMP-ES-2024-0000001,MAN-2024-67377,8517.12.00,Teléfonos inteligentes,2,3005825.13
IMP-ES-2024-0000001,MAN-2024-67377,6203.42.00,Pantalones de mezclilla,3,1235175.04
IMP-ES-2024-0000001,MAN-2024-67377,8544.42.00,Conductores eléctricos con conector,4,1607457.44
IMP-CL-2024-0000002,MAN-2024-96200,6109.10.00,Camisetas de algodón,1,3954300
IMP-CL-2024-0000002,MAN-2024-96200,8471.30.00,Computadores portátiles,2,1193415.72
IMP-CL-2024-0000002,MAN-2024-96200,8528.72.00,Monitores y pantallas LCD,3,4436469.77
IMP-CL-2024-0000002,MAN-2024-96200,6203.42.00,Pantalones de mezclilla,4,1877214.07
IMP-CL-2024-0000002,MAN-2024-96200,4011.10.00,Neumáticos para automóviles,5,3119418.11
IMP-VN-2022-0000003,MAN-2022-73242,8544.42.00,Conductores eléctricos con conector,1,305627.4
IMP-VN-2022-0000003,MAN-2022-73242,7606.11.00,Chapas y hojas de aluminio,2,1129263.6
IMP-VN-2022-0000003,MAN-2022-73242,7208.51.00,Productos planos de hierro laminado,3,2055591
IMP-VN-2022-0000004,MAN-2022-26547,2710.12.00,Gasolina,1,2452516.5
IMP-VN-2022-0000004,MAN-2022-26547,8429.51.00,Cargadores frontales,2,1043879.2
IMP-VN-2022-0000004,MAN-2022-26547,8528.72.00,Monitores y pantallas LCD,3,8499.52
IMP-VN-2022-0000004,MAN-2022-26547,6109.10.00,Camisetas de algodón,4,1922255.28
IMP-VN-2022-0000004,MAN-2022-26547,3002.20.00,Vacunas para medicina humana,5,4450114.35
IMP-CL-2022-0000005,MAN-2022-40771,2710.12.00,Gasolina,1,3203316.45
IMP-CL-2023-0000006,MAN-2023-75230,3002.20.00,Vacunas para medicina humana,1,581804.94
IMP-CL-2024-0000007,MAN-2024-40162,6109.10.00,Camisetas de algodón,1,2846617.97
IMP-CL-2024-0000007,MAN-2024-40162,8471.30.00,Computadores portátiles,2,251998.14
IMP-CL-2024-0000007,MAN-2024-40162,7208.51.00,Productos planos de hierro laminado,3,2622237.3
IMP-CL-2024-0000007,MAN-2024-40162,0901.11.00,Café sin tostar,4,1476504.26
IMP-ES-2023-0000008,MAN-2023-28449,8474.20.00,Maquinaria trituradora de minerales,1,1881171.93
IMP-ES-2023-0000008,MAN-2023-28449,8517.12.00,Teléfonos inteligentes,2,156560.58
IMP-CL-2024-0000009,MAN-2024-28320,8528.72.00,Monitores y pantallas LCD,1,1095237.92
IMP-CL-2024-0000009,MAN-2024-28320,3004.90.00,Medicamentos para uso humano,2,1289678.3
IMP-CL-2024-0000009,MAN-2024-28320,8471.30.00,Computadores portátiles,3,3873941.76
IMP-CL-2024-0000010,MAN-2024-62184,3901.20.00,Polietileno de alta densidad,1,1355213.88
IMP-CL-2024-0000010,MAN-2024-62184,8429.51.00,Cargadores frontales,2,4898979.68
IMP-CL-2024-0000011,MAN-2024-41186,8544.42.00,Conductores eléctricos con conector,1,306905.3
IMP-CL-2024-0000011,MAN-2024-41186,8471.30.00,Computadores portátiles,2,1854053.75
IMP-ES-2022-0000012,MAN-2022-18609,3002.20.00,Vacunas para medicina humana,1,660063.68
IMP-ES-2022-0000012,MAN-2022-18609,2710.12.00,Gasolina,2,1642034.6
IMP-CL-2023-0000013,MAN-2023-97819,0901.11.00,Café sin tostar,1,4285575.69
IMP-CL-2023-0000013,MAN-2023-97819,7208.51.00,Productos planos de hierro laminado,2,4293153.55
IMP-CL-2023-0000013,MAN-2023-97819,2710.12.00,Gasolina,3,5191537.5
IMP-CL-2023-0000013,MAN-2023-97819,3002.20.00,Vacunas para medicina humana,4,4803980.1
IMP-CL-2023-0000013,MAN-2023-97819,8474.20.00,Maquinaria trituradora de minerales,5,1498117.01
IMP-ES-2024-0000014,MAN-2024-33777,0901.11.00,Café sin tostar,1,1445631.88
IMP-ES-2022-0000015,MAN-2022-55242,8528.72.00,Monitores y pantallas LCD,1,3049423.02
IMP-CL-2024-0000016,MAN-2024-20205,8517.12.00,Teléfonos inteligentes,1,255172.26
IMP-CL-2024-0000016,MAN-2024-20205,6203.42.00,Pantalones de mezclilla,2,475469.4
IMP-CL-2024-0000016,MAN-2024-20205,3004.90.00,Medicamentos para uso humano,3,1254870.13
IMP-ES-2024-0000017,MAN-2024-43550,0901.11.00,Café sin tostar,1,2414748.6
IMP-ES-2024-0000017,MAN-2024-43550,8474.20.00,Maquinaria trituradora de minerales,2,5842258.14
IMP-ES-2024-0000017,MAN-2024-43550,3004.90.00,Medicamentos para uso humano,3,2945768.52
IMP-ES-2024-0000017,MAN-2024-43550,8471.30.00,Computadores portátiles,4,2559494.07
IMP-CL-2022-0000018,MAN-2022-94497,8701.20.00,Tractores de carretera,1,5658355.12
IMP-ES-2024-0000019,MAN-2024-53694,3901.20.00,Polietileno de alta densidad,1,2213300.8
IMP-ES-2024-0000019,MAN-2024-53694,8517.12.00,Teléfonos inteligentes,2,1120568.28
IMP-ES-2024-0000019,MAN-2024-53694,7208.51.00,Productos planos de hierro laminado,3,360704.19
IMP-ES-2024-0000019,MAN-2024-53694,8703.23.00,Automóviles de turismo,4,5791211.08
IMP-ES-2024-0000019,MAN-2024-53694,1006.30.00,Arroz semiblanqueado,5,466316.94
IMP-CL-2022-0000020,MAN-2022-91006,8429.51.00,Cargadores frontales,1,3919413.3
IMP-CL-2022-0000020,MAN-2022-91006,8528.72.00,Monitores y pantallas LCD,2,802987.71
IMP-CL-2022-0000020,MAN-2022-91006,0901.11.00,Café sin tostar,3,4476996
IMP-CL-2022-0000020,MAN-2022-91006,3004.90.00,Medicamentos para uso humano,4,5668888.71
IMP-CL-2022-0000021,MAN-2022-77621,8701.20.00,Tractores de carretera,1,3746416.73
IMP-CL-2022-0000021,MAN-2022-77621,7208.51.00,Productos planos de hierro laminado,2,3314264.38
IMP-CL-2022-0000021,MAN-2022-77621,8517.12.00,Teléfonos inteligentes,3,1648097.64
IMP-CL-2022-0000021,MAN-2022-77621,3002.20.00,Vacunas para medicina humana,4,2709250.86
IMP-CL-2022-0000021,MAN-2022-77621,2204.21.00,Vino tinto en botellas,5,985068.36
IMP-ES-2022-0000022,MAN-2022-47762,8429.51.00,Cargadores frontales,1,2378376.84
IMP-ES-2022-0000022,MAN-2022-47762,3002.20.00,Vacunas para medicina humana,2,87210.2
IMP-ES-2022-0000022,MAN-2022-47762,8528.72.00,Monitores y pantallas LCD,3,1529623.27
IMP-ES-2022-0000022,MAN-2022-47762,6203.42.00,Pantalones de mezclilla,4,701634.23
IMP-ES-2022-0000022,MAN-2022-47762,7208.51.00,Productos planos de hierro laminado,5,236457.48
IMP-CL-2022-0000023,MAN-2022-41604,7208.51.00,Productos planos de hierro laminado,1,2506295.52
IMP-CL-2022-0000023,MAN-2022-41604,8528.72.00,Monitores y pantallas LCD,2,1336841.52
IMP-CL-2022-0000023,MAN-2022-41604,8474.20.00,Maquinaria trituradora de minerales,3,966643.5
IMP-CL-2022-0000023,MAN-2022-41604,7606.11.00,Chapas y hojas de aluminio,4,1669093.65
IMP-CL-2022-0000023,MAN-2022-41604,8471.30.00,Computadores portátiles,5,1832524.55
IMP-CL-2023-0000024,MAN-2023-26315,3901.20.00,Polietileno de alta densidad,1,4979663.1
IMP-CL-2023-0000024,MAN-2023-26315,1006.30.00,Arroz semiblanqueado,2,3501570.24
IMP-CL-2023-0000024,MAN-2023-26315,8701.20.00,Tractores de carretera,3,2332011.12
IMP-ES-2024-0000025,MAN-2024-19835,3004.90.00,Medicamentos para uso humano,1,2651097.4
IMP-ES-2024-0000025,MAN-2024-19835,1006.30.00,Arroz semiblanqueado,2,5669698.86
IMP-ES-2024-0000025,MAN-2024-19835,8701.20.00,Tractores de carretera,3,1646631.77
IMP-ES-2024-0000025,MAN-2024-19835,7606.11.00,Chapas y hojas de aluminio,4,2377222.25
IMP-CL-2024-0000026,MAN-2024-34385,8471.30.00,Computadores portátiles,1,3966121.2
IMP-CL-2024-0000026,MAN-2024-34385,8429.51.00,Cargadores frontales,2,2637862.21
IMP-ES-2022-0000027,MAN-2022-90209,8703.23.00,Automóviles de turismo,1,128807.91
IMP-ES-2022-0000027,MAN-2022-90209,0901.11.00,Café sin tostar,2,257872.56
IMP-ES-2022-0000027,MAN-2022-90209,7606.11.00,Chapas y hojas de aluminio,3,4934272.01
IMP-ES-2022-0000027,MAN-2022-90209,8544.42.00,Conductores eléctricos con conector,4,547181.55
IMP-CL-2024-0000028,MAN-2024-93238,2710.12.00,Gasolina,1,948088.05
IMP-CL-2024-0000028,MAN-2024-93238,3002.20.00,Vacunas para medicina humana,2,369049.17
IMP-CL-2024-0000028,MAN-2024-93238,4011.10.00,Neumáticos para automóviles,3,2438954.37
IMP-CL-2024-0000028,MAN-2024-93238,8528.72.00,Monitores y pantallas LCD,4,342271.98
IMP-CL-2022-0000029,MAN-2022-54589,3901.20.00,Polietileno de alta densidad,1,869828.08
IMP-CL-2022-0000029,MAN-2022-54589,8528.72.00,Monitores y pantallas LCD,2,4992935.31
IMP-CL-2022-0000029,MAN-2022-54589,2710.12.00,Gasolina,3,2186636.96
IMP-CL-2022-0000029,MAN-2022-54589,8701.20.00,Tractores de carretera,4,181347.5
IMP-CL-2022-0000029,MAN-2022-54589,8429.51.00,Cargadores frontales,5,192846.76
IMP-ES-2023-0000030,MAN-2023-16377,8429.51.00,Cargadores frontales,1,595918.6
IMP-ES-2023-0000030,MAN-2023-16377,2204.21.00,Vino tinto en botellas,2,253222.2
IMP-ES-2023-0000030,MAN-2023-16377,2710.12.00,Gasolina,3,269463.52
IMP-ES-2023-0000030,MAN-2023-16377,8474.20.00,Maquinaria trituradora de minerales,4,113367.28
IMP-ES-2024-0000031,MAN-2024-28909,8474.20.00,Maquinaria trituradora de minerales,1,445907.28
IMP-VN-2024-0000032,MAN-2024-64596,8429.51.00,Cargadores frontales,1,1830834.48
IMP-ES-2024-0000033,MAN-2024-98587,4011.10.00,Neumáticos para automóviles,1,2539115.21
IMP-ES-2024-0000033,MAN-2024-98587,6203.42.00,Pantalones de mezclilla,2,3695589.3
IMP-ES-2024-0000033,MAN-2024-98587,8517.12.00,Teléfonos inteligentes,3,433906.2
IMP-ES-2024-0000033,MAN-2024-98587,7606.11.00,Chapas y hojas de aluminio,4,1270544.97
IMP-ES-2024-0000033,MAN-2024-98587,8701.20.00,Tractores de carretera,5,4181738.4
IMP-CL-2024-0000034,MAN-2024-83664,3901.20.00,Polietileno de alta densidad,1,7048868.19
IMP-CL-2024-0000034,MAN-2024-83664,0901.11.00,Café sin tostar,2,1770194.7
IMP-CL-2024-0000034,MAN-2024-83664,6203.42.00,Pantalones de mezclilla,3,1125269.49
IMP-VN-2022-0000035,MAN-2022-47941,6203.42.00,Pantalones de mezclilla,1,1144571.94
IMP-VN-2022-0000035,MAN-2022-47941,8544.42.00,Conductores eléctricos con conector,2,322680.28
IMP-VN-2022-0000035,MAN-2022-47941,8517.12.00,Teléfonos inteligentes,3,2609609.44
IMP-VN-2022-0000035,MAN-2022-47941,2710.12.00,Gasolina,4,4035759.22
IMP-VN-2022-0000035,MAN-2022-47941,4011.10.00,Neumáticos para automóviles,5,43404.42
IMP-CL-2022-0000036,MAN-2022-53204,3901.20.00,Polietileno de alta densidad,1,3299713.4
IMP-CL-2022-0000036,MAN-2022-53204,2710.12.00,Gasolina,2,406033.6
IMP-CL-2022-0000036,MAN-2022-53204,7606.11.00,Chapas y hojas de aluminio,3,288083.1
IMP-CL-2022-0000036,MAN-2022-53204,8429.51.00,Cargadores frontales,4,2583423.75
IMP-CL-2022-0000037,MAN-2022-78879,6203.42.00,Pantalones de mezclilla,1,1101558.17
IMP-CL-2022-0000037,MAN-2022-78879,8517.12.00,Teléfonos inteligentes,2,2141201.92
IMP-CL-2022-0000037,MAN-2022-78879,8474.20.00,Maquinaria trituradora de minerales,3,6351358.86
IMP-ES-2022-0000038,MAN-2022-38560,3901.20.00,Polietileno de alta densidad,1,3512896.75
IMP-CL-2024-0000039,MAN-2024-39188,3901.20.00,Polietileno de alta densidad,1,434601.4
IMP-CL-2023-0000040,MAN-2023-40692,3002.20.00,Vacunas para medicina humana,1,1226947.48
