numero_declaracion,fecha_declaracion,pais_importacion,aduana,importador_nombre,importador_tax_id,exportador_pais,via_transporte,naviera,nombre_nave,numero_bl,puerto_origen,fecha_embarque,fecha_arribo,dias_transito,numero_manifiesto,contenedores,tipo_contenedor,num_contenedores,peso_bruto_kg,volumen_m3,bultos,num_items,items_detalle,valor_fob_usd,flete_usd,seguro_usd,valor_cif_usd,tasa_advalorem_pct,derechos_advalorem,iva,total_tributos,moneda,canal,estado,fecha_liquidacion
IMP-ES-2024-0000001,2024-07-11,ES,BILBAO,Telefónica S.A.,ES77172238V,SG,MARITIMO,Yang Ming,MAERSK EDINBURGH,YANG186373782,BARCELONA,2024-06-01,2024-07-08,40,MAN-2024-67377,MSKU4771676|TCKU5456573|TCKU2198058|MSCU3783722,HC 40',4,16863.7,58.58,601,4,1:0901.11.00:Café sin tostar:362:1537757.90USD | 2:8517.12.00:Teléfonos inteligentes:441:3005825.13USD | 3:6203.42.00:Pantalones de mezclilla:352:1235175.04USD | 4:8544.42.00:Conductores eléctricos con conector:136:1607457.44USD,7386215.51,452427.12,85767.48,7924410.11,6.0,475464.61,1763973.69,2239438.3,EUR,AMARILLO,LIQUIDADO,2024-07-16
IMP-CL-2024-0000002,2024-06-03,CL,VALPARAISO,Importadora del Pacífico Ltda.,59.247.457-8,CN,MARITIMO,HMM,MSC ISTANBUL,HMM682605435,BARCELONA,2024-04-23,2024-06-01,41,MAN-2024-96200,MSKU8885465|EISU7850944|EISU6386463|MSKU3698193,HC 40',4,11820.2,37.21,830,5,1:6109.10.00:Camisetas de algodón:392:3954300.00USD | 2:8471.30.00:Computadores portátiles:138:1193415.72USD | 3:8528.72.00:Monitores y pantallas LCD:391:4436469.77USD | 4:6203.42.00:Pantalones de mezclilla:241:1877214.07USD | 5:4011.10.00:Neumáticos para automóviles:227:3119418.11USD,14580817.67,569737.54,158249.93,15308805.14,15.0,2296320.77,3344973.92,5641294.69,USD,VERDE,ACEPTADO,2024-06-07
IMP-VN-2022-0000003,2022-04-22,VN,DA NANG,TH Group,VN8324687182,TH,MARITIMO,Yang Ming,MAERSK EDINBURGH,YANG607042130,ROTTERDAM,2022-03-29,2022-04-19,24,MAN-2022-73242,TCKU6213522|APHU1229419,REEFER 40',2,11719.7,19.61,242,3,1:8544.42.00:Conductores eléctricos con conector:390:305627.40USD | 2:7606.11.00:Chapas y hojas de aluminio:137:1129263.60USD | 3:7208.51.00:Productos planos de hierro laminado:475:2055591.00USD,3490482.0,258443.42,34371.19,3783296.61,0.0,0.0,378329.66,378329.66,USD,VERDE,LIQUIDADO,2022-04-24
IMP-VN-2022-0000004,2022-10-24,VN,DA NANG,Hoa Phat Group,VN5948254671,US,MARITIMO,Maersk Line,HAPAG LLOYD BERLIN,MAER639331014,VALENCIA,2022-09-24,2022-10-23,30,MAN-2022-26547,EISU6577416|APHU7328534|COSU6398528|HLXU5006492,REEFER 40',4,11031.7,60.64,851,5,1:2710.12.00:Gasolina:175:2452516.50USD | 2:8429.51.00:Cargadores frontales:260:1043879.20USD | 3:8528.72.00:Monitores y pantallas LCD:2:8499.52USD | 4:6109.10.00:Camisetas de algodón:153:1922255.28USD | 5:3002.20.00:Vacunas para medicina humana:297:4450114.35USD,9877264.85,538133.31,64063.49,10479461.65,10.0,1047946.17,1152740.78,2200686.95,USD,AMARILLO,LIQUIDADO,2022-10-29
IMP-CL-2022-0000005,2022-07-25,CL,IQUIQUE,Arauco y Constitución S.A.,77.613.940-0,DE,MARITIMO,HMM,ONE STORK,HMM777703980,ANTWERP,2022-06-10,2022-07-23,45,MAN-2022-40771,MSKU8876745|YMLU6680114,REEFER 40',2,19549.4,47.24,682,1,1:2710.12.00:Gasolina:467:3203316.45USD,3203316.45,211810.3,29149.49,3444276.24,15.0,516641.44,752574.36,1269215.8,USD,VERDE,EN REVISIÓN,
IMP-CL-2023-0000006,2023-08-12,CL,PUERTO MONTT,Enap Refinerías S.A.,88.176.117-K,MX,MARITIMO,PIL,MSC OSCAR,PIL726160204,SINGAPORE,2023-07-18,2023-08-09,25,MAN-2023-75230,MSCU1771600|EISU1941524|YMLU7014016,HC 40',3,12343.9,20.87,853,1,1:3002.20.00:Vacunas para medicina humana:51:581804.94USD,581804.94,37930.51,3493.78,623229.23,6.0,37393.75,125518.37,162912.12,USD,VERDE,ACEPTADO,2023-08-14
IMP-CL-2024-0000007,2024-08-02,CL,SAN ANTONIO,Comercial Atacama S.A.,86.390.501-7,FR,MARITIMO,Maersk Line,ANDROMEDA LEADER,MAER751831074,TOKYO,2024-06-25,2024-07-31,38,MAN-2024-40162,HLXU7454081|COSU2789344|HLXU7398231,REEFER 40',3,10371.4,24.23,614,4,1:6109.10.00:Camisetas de algodón:347:2846617.97USD | 2:8471.30.00:Computadores portátiles:38:251998.14USD | 3:7208.51.00:Productos planos de hierro laminado:177:2622237.30USD | 4:0901.11.00:Café sin tostar:154:1476504.26USD,7197357.67,368615.89,53987.25,7619960.81,18.0,1371592.95,1708395.21,3079988.16,USD,VERDE,LIQUIDADO,2024-08-05
IMP-ES-2023-0000008,2023-01-25,ES,VALENCIA,SEAT S.A.,ES25457816Q,DE,MARITIMO,Hapag-Lloyd,PACIFIC CARRIER,HAPA909763993,VALENCIA,2022-12-19,2023-01-23,37,MAN-2023-28449,OOLU3946751|HLXU3217273|APHU7138070,REEFER 40',3,14299.4,22.71,346,2,1:8474.20.00:Maquinaria trituradora de minerales:159:1881171.93USD | 2:8517.12.00:Teléfonos inteligentes:18:156560.58USD,2037732.51,135749.64,12025.34,2185507.49,6.0,131130.45,486493.97,617624.42,EUR,ROJO,ACEPTADO,2023-01-27
IMP-CL-2024-0000009,2024-03-24,CL,PUERTO MONTT,Falabella Retail S.A.,92.139.443-6,JP,MARITIMO,PIL,EVER GIVEN,PIL148690765,NINGBO,2024-02-08,2024-03-21,45,MAN-2024-28320,HLXU8910069,DRY 20',1,17537.5,66.31,681,3,1:8528.72.00:Monitores y pantallas LCD:136:1095237.92USD | 2:3004.90.00:Medicamentos para uso humano:233:1289678.30USD | 3:8471.30.00:Computadores portátiles:384:3873941.76USD,6258857.98,370699.67,82768.22,6712325.87,6.0,402739.55,1351862.43,1754601.98,USD,VERDE,ACEPTADO,2024-03-25
IMP-CL-2024-0000010,2024-10-05,CL,IQUIQUE,Viña Concha y Toro S.A.,91.547.189-5,US,MARITIMO,Yang Ming,EVER GIVEN,YANG396225446,LOS ANGELES,2024-09-14,2024-10-04,21,MAN-2024-62184,OOLU2661307|COSU7847048,HC 40',2,1399.7,29.08,918,2,1:3901.20.00:Polietileno de alta densidad:199:1355213.88USD | 2:8429.51.00:Cargadores frontales:344:4898979.68USD,6254193.56,405423.09,65055.65,6724672.3,10.0,672467.23,1405456.51,2077923.74,USD,VERDE,LIQUIDADO,2024-10-07
